,scenario,popt,p90,method,qubo,num_layers
0,0,0.32633333333333336,0.32633333333333336,TAE,standard_qubo,20
1,0,0.32066666666666666,0.32066666666666666,TAE,standard_qubo,20
2,0,0.3303333333333333,0.3303333333333333,TAE,standard_qubo,20
3,0,0.33199999999999996,0.33199999999999996,TAE,standard_qubo,20
4,0,0.341,0.341,TAE,standard_qubo,20
5,0,0.3396666666666667,0.3396666666666667,TAE,standard_qubo,20
6,0,0.32866666666666666,0.32866666666666666,TAE,standard_qubo,20
7,0,0.336,0.336,TAE,standard_qubo,20
8,0,0.3273333333333333,0.3273333333333333,TAE,standard_qubo,20
9,0,0.32,0.32,TAE,standard_qubo,20
10,1,0.3626666666666667,0.3626666666666667,TAE,standard_qubo,20
11,1,0.38766666666666666,0.38766666666666666,TAE,standard_qubo,20
12,1,0.3876666666666666,0.3876666666666666,TAE,standard_qubo,20
13,1,0.39199999999999996,0.39199999999999996,TAE,standard_qubo,20
14,1,0.3866666666666667,0.3866666666666667,TAE,standard_qubo,20
15,1,0.37533333333333335,0.37533333333333335,TAE,standard_qubo,20
16,1,0.37599999999999995,0.37599999999999995,TAE,standard_qubo,20
17,1,0.38533333333333336,0.38533333333333336,TAE,standard_qubo,20
18,1,0.39066666666666666,0.39066666666666666,TAE,standard_qubo,20
19,1,0.3960000000000001,0.3960000000000001,TAE,standard_qubo,20
20,2,0.11624999999999999,0.11624999999999999,TAE,standard_qubo,20
21,2,0.11150000000000002,0.11150000000000002,TAE,standard_qubo,20
22,2,0.1205,0.1205,TAE,standard_qubo,20
23,2,0.11599999999999999,0.11599999999999999,TAE,standard_qubo,20
24,2,0.11775,0.11775,TAE,standard_qubo,20
25,2,0.11574999999999999,0.11574999999999999,TAE,standard_qubo,20
26,2,0.11850000000000001,0.11850000000000001,TAE,standard_qubo,20
27,2,0.11275,0.11275,TAE,standard_qubo,20
28,2,0.11675,0.11675,TAE,standard_qubo,20
29,2,0.115,0.115,TAE,standard_qubo,20
30,3,0.16300000000000003,0.22100000000000003,TAE,standard_qubo,20
31,3,0.17200000000000001,0.23875,TAE,standard_qubo,20
32,3,0.18099999999999997,0.24125000000000002,TAE,standard_qubo,20
33,3,0.16850000000000004,0.22925000000000004,TAE,standard_qubo,20
34,3,0.17275,0.243,TAE,standard_qubo,20
35,3,0.17,0.22925000000000004,TAE,standard_qubo,20
36,3,0.18449999999999997,0.25175,TAE,standard_qubo,20
37,3,0.17275,0.23750000000000002,TAE,standard_qubo,20
38,3,0.16999999999999998,0.23500000000000001,TAE,standard_qubo,20
39,3,0.17775,0.23525000000000001,TAE,standard_qubo,20
40,4,0.12466666666666666,0.22644444444444448,TAE,standard_qubo,20
41,4,0.12977777777777777,0.22955555555555548,TAE,standard_qubo,20
42,4,0.13155555555555556,0.23711111111111116,TAE,standard_qubo,20
43,4,0.12466666666666666,0.22199999999999992,TAE,standard_qubo,20
44,4,0.13533333333333333,0.23911111111111102,TAE,standard_qubo,20
45,4,0.12866666666666668,0.2308888888888889,TAE,standard_qubo,20
46,4,0.1328888888888889,0.24199999999999994,TAE,standard_qubo,20
47,4,0.12399999999999999,0.22866666666666668,TAE,standard_qubo,20
48,4,0.13155555555555556,0.23066666666666663,TAE,standard_qubo,20
49,4,0.14044444444444446,0.2326666666666667,TAE,standard_qubo,20
50,5,0.042666666666666665,0.06933333333333333,TAE,standard_qubo,20
51,5,0.03911111111111111,0.06844444444444445,TAE,standard_qubo,20
52,5,0.03155555555555556,0.06133333333333334,TAE,standard_qubo,20
53,5,0.044444444444444446,0.06888888888888889,TAE,standard_qubo,20
54,5,0.038000000000000006,0.06333333333333334,TAE,standard_qubo,20
55,5,0.034666666666666665,0.05822222222222222,TAE,standard_qubo,20
56,5,0.03755555555555556,0.07066666666666667,TAE,standard_qubo,20
57,5,0.035777777777777776,0.06622222222222221,TAE,standard_qubo,20
58,5,0.036444444444444446,0.0631111111111111,TAE,standard_qubo,20
59,5,0.04133333333333334,0.06844444444444445,TAE,standard_qubo,20
60,6,0.0512,0.0512,TAE,standard_qubo,20
61,6,0.052199999999999996,0.052199999999999996,TAE,standard_qubo,20
62,6,0.05280000000000001,0.05280000000000001,TAE,standard_qubo,20
63,6,0.0556,0.0556,TAE,standard_qubo,20
64,6,0.056999999999999995,0.056999999999999995,TAE,standard_qubo,20
65,6,0.05479999999999999,0.05479999999999999,TAE,standard_qubo,20
66,6,0.0556,0.0556,TAE,standard_qubo,20
67,6,0.0598,0.0598,TAE,standard_qubo,20
68,6,0.06,0.06,TAE,standard_qubo,20
69,6,0.05219999999999999,0.05219999999999999,TAE,standard_qubo,20
70,7,0.0298,0.0298,TAE,standard_qubo,20
71,7,0.0286,0.0286,TAE,standard_qubo,20
72,7,0.026600000000000002,0.026600000000000002,TAE,standard_qubo,20
73,7,0.027200000000000002,0.027200000000000002,TAE,standard_qubo,20
74,7,0.0294,0.0294,TAE,standard_qubo,20
75,7,0.025599999999999998,0.025599999999999998,TAE,standard_qubo,20
76,7,0.030199999999999998,0.030199999999999998,TAE,standard_qubo,20
77,7,0.026600000000000002,0.026600000000000002,TAE,standard_qubo,20
78,7,0.028000000000000004,0.028000000000000004,TAE,standard_qubo,20
79,7,0.0264,0.0264,TAE,standard_qubo,20
80,8,0.016,0.022166666666666664,TAE,standard_qubo,20
81,8,0.01966666666666667,0.026833333333333334,TAE,standard_qubo,20
82,8,0.017,0.024500000000000008,TAE,standard_qubo,20
83,8,0.017833333333333336,0.026000000000000002,TAE,standard_qubo,20
84,8,0.016,0.023000000000000003,TAE,standard_qubo,20
85,8,0.016999999999999998,0.02616666666666667,TAE,standard_qubo,20
86,8,0.01933333333333333,0.027,TAE,standard_qubo,20
87,8,0.018500000000000003,0.025666666666666664,TAE,standard_qubo,20
88,8,0.018166666666666668,0.027000000000000003,TAE,standard_qubo,20
89,8,0.01483333333333333,0.024333333333333332,TAE,standard_qubo,20
90,9,0.009,0.059000000000000025,TAE,standard_qubo,20
91,9,0.0085,0.05616666666666669,TAE,standard_qubo,20
92,9,0.009,0.056333333333333326,TAE,standard_qubo,20
93,9,0.007,0.05400000000000002,TAE,standard_qubo,20
94,9,0.008,0.0611666666666667,TAE,standard_qubo,20
95,9,0.009666666666666665,0.053166666666666695,TAE,standard_qubo,20
96,9,0.007000000000000001,0.05800000000000001,TAE,standard_qubo,20
97,9,0.006333333333333333,0.05333333333333335,TAE,standard_qubo,20
98,9,0.006833333333333334,0.057499999999999996,TAE,standard_qubo,20
99,9,0.008,0.06066666666666667,TAE,standard_qubo,20
100,10,0.04614285714285718,0.12185714285714298,TAE,standard_qubo,20
101,10,0.050428571428571455,0.12742857142857156,TAE,standard_qubo,20
102,10,0.04842857142857147,0.12914285714285706,TAE,standard_qubo,20
103,10,0.05200000000000004,0.12042857142857158,TAE,standard_qubo,20
104,10,0.05257142857142863,0.1285714285714287,TAE,standard_qubo,20
105,10,0.04842857142857147,0.1252857142857143,TAE,standard_qubo,20
106,10,0.04757142857142858,0.12657142857142872,TAE,standard_qubo,20
107,10,0.04300000000000001,0.11500000000000014,TAE,standard_qubo,20
108,10,0.049428571428571474,0.12285714285714291,TAE,standard_qubo,20
109,10,0.04900000000000004,0.12414285714285735,TAE,standard_qubo,20
110,11,0.016285714285714275,0.10542857142857154,TAE,standard_qubo,20
111,11,0.01914285714285713,0.1084285714285715,TAE,standard_qubo,20
112,11,0.018999999999999993,0.1135714285714287,TAE,standard_qubo,20
113,11,0.01999999999999999,0.10485714285714302,TAE,standard_qubo,20
114,11,0.018857142857142847,0.11214285714285724,TAE,standard_qubo,20
115,11,0.019142857142857128,0.11014285714285726,TAE,standard_qubo,20
116,11,0.01828571428571427,0.11171428571428585,TAE,standard_qubo,20
117,11,0.02085714285714284,0.10685714285714303,TAE,standard_qubo,20
118,11,0.01699999999999999,0.10642857142857153,TAE,standard_qubo,20
119,11,0.021142857142857126,0.10842857142857164,TAE,standard_qubo,20
120,12,0.04062500000000003,0.04062500000000003,TAE,standard_qubo,20
121,12,0.04150000000000003,0.04150000000000003,TAE,standard_qubo,20
122,12,0.03787500000000003,0.03787500000000003,TAE,standard_qubo,20
123,12,0.04050000000000003,0.04050000000000003,TAE,standard_qubo,20
124,12,0.036250000000000025,0.036250000000000025,TAE,standard_qubo,20
125,12,0.04187500000000003,0.04187500000000003,TAE,standard_qubo,20
126,12,0.03775000000000003,0.03775000000000003,TAE,standard_qubo,20
127,12,0.03812500000000003,0.03812500000000003,TAE,standard_qubo,20
128,12,0.037500000000000026,0.037500000000000026,TAE,standard_qubo,20
129,12,0.03887500000000003,0.03887500000000003,TAE,standard_qubo,20
130,13,0.009750000000000003,0.1514999999999992,TAE,standard_qubo,20
131,13,0.012625000000000008,0.14137499999999953,TAE,standard_qubo,20
132,13,0.011250000000000007,0.14649999999999938,TAE,standard_qubo,20
133,13,0.011125000000000003,0.13799999999999954,TAE,standard_qubo,20
134,13,0.009750000000000005,0.14362499999999934,TAE,standard_qubo,20
135,13,0.010125000000000006,0.1461249999999994,TAE,standard_qubo,20
136,13,0.010125000000000006,0.13737499999999955,TAE,standard_qubo,20
137,13,0.009125000000000005,0.14337499999999934,TAE,standard_qubo,20
138,13,0.010000000000000005,0.13649999999999968,TAE,standard_qubo,20
139,13,0.010875000000000008,0.14462499999999934,TAE,standard_qubo,20
140,14,0.00999999999999999,0.00999999999999999,TAE,standard_qubo,20
141,14,0.011099999999999992,0.011099999999999992,TAE,standard_qubo,20
142,14,0.010699999999999998,0.010699999999999998,TAE,standard_qubo,20
143,14,0.010699999999999998,0.010699999999999998,TAE,standard_qubo,20
144,14,0.011399999999999993,0.011399999999999993,TAE,standard_qubo,20
145,14,0.011299999999999992,0.011299999999999992,TAE,standard_qubo,20
146,14,0.012199999999999987,0.012199999999999987,TAE,standard_qubo,20
147,14,0.011599999999999994,0.011599999999999994,TAE,standard_qubo,20
148,14,0.010699999999999998,0.010699999999999998,TAE,standard_qubo,20
149,14,0.011799999999999986,0.011799999999999986,TAE,standard_qubo,20
150,15,0.020499999999999977,0.2681999999999981,TAE,standard_qubo,20
151,15,0.020799999999999996,0.26039999999999847,TAE,standard_qubo,20
152,15,0.019499999999999976,0.2649999999999976,TAE,standard_qubo,20
153,15,0.019799999999999984,0.2616999999999981,TAE,standard_qubo,20
154,15,0.019499999999999983,0.2684999999999976,TAE,standard_qubo,20
155,15,0.02019999999999999,0.26499999999999735,TAE,standard_qubo,20
156,15,0.020599999999999986,0.2700999999999982,TAE,standard_qubo,20
157,15,0.01949999999999999,0.26679999999999754,TAE,standard_qubo,20
158,15,0.017899999999999985,0.2694999999999976,TAE,standard_qubo,20
159,15,0.018799999999999983,0.26239999999999764,TAE,standard_qubo,20
160,16,0.01716666666666667,0.035500000000000045,TAE,standard_qubo,20
161,16,0.015333333333333301,0.03350000000000011,TAE,standard_qubo,20
162,16,0.016333333333333318,0.03408333333333343,TAE,standard_qubo,20
163,16,0.014166666666666645,0.03183333333333349,TAE,standard_qubo,20
164,16,0.01566666666666665,0.032333333333333464,TAE,standard_qubo,20
165,16,0.015166666666666651,0.035000000000000066,TAE,standard_qubo,20
166,16,0.01641666666666666,0.03525000000000006,TAE,standard_qubo,20
167,16,0.018833333333333348,0.03658333333333338,TAE,standard_qubo,20
168,16,0.016833333333333318,0.03600000000000007,TAE,standard_qubo,20
169,16,0.018250000000000006,0.035750000000000066,TAE,standard_qubo,20
170,17,0.0005,0.018750000000000017,TAE,standard_qubo,20
171,17,0.0010833333333333335,0.024250000000000087,TAE,standard_qubo,20
172,17,0.0005833333333333334,0.018500000000000016,TAE,standard_qubo,20
173,17,0.0003333333333333333,0.01925000000000002,TAE,standard_qubo,20
174,17,0.0005,0.02033333333333336,TAE,standard_qubo,20
175,17,0.0008333333333333335,0.020833333333333367,TAE,standard_qubo,20
176,17,0.0008333333333333333,0.01991666666666669,TAE,standard_qubo,20
177,17,0.0010000000000000002,0.02166666666666672,TAE,standard_qubo,20
178,17,0.0006666666666666668,0.018500000000000006,TAE,standard_qubo,20
179,17,0.0005833333333333334,0.021333333333333378,TAE,standard_qubo,20
180,18,0.00046153846153846153,0.005230769230769228,TAE,standard_qubo,20
181,18,0.0003076923076923077,0.0037692307692307673,TAE,standard_qubo,20
182,18,0.00046153846153846153,0.004230769230769229,TAE,standard_qubo,20
183,18,0.0002307692307692308,0.004615384615384613,TAE,standard_qubo,20
184,18,0.0003846153846153846,0.0036923076923076905,TAE,standard_qubo,20
185,18,0.0002307692307692308,0.004153846153846152,TAE,standard_qubo,20
186,18,0.0003846153846153846,0.0036153846153846136,TAE,standard_qubo,20
187,18,0.00046153846153846153,0.004538461538461536,TAE,standard_qubo,20
188,18,0.0006153846153846154,0.0044615384615384595,TAE,standard_qubo,20
189,18,0.00015384615384615385,0.0031538461538461525,TAE,standard_qubo,20
190,19,0.0,0.0026923076923076913,TAE,standard_qubo,20
191,19,0.0002307692307692308,0.0021538461538461533,TAE,standard_qubo,20
192,19,0.0,0.0029999999999999988,TAE,standard_qubo,20
193,19,0.0,0.0024615384615384608,TAE,standard_qubo,20
194,19,0.0,0.002307692307692307,TAE,standard_qubo,20
195,19,7.692307692307693e-05,0.00223076923076923,TAE,standard_qubo,20
196,19,7.692307692307693e-05,0.0026923076923076913,TAE,standard_qubo,20
197,19,0.00015384615384615385,0.0030769230769230756,TAE,standard_qubo,20
198,19,0.00015384615384615385,0.0026153846153846145,TAE,standard_qubo,20
199,19,0.0,0.003846153846153844,TAE,standard_qubo,20
